Vocabulario,Significado
안녕하세요,Hola
안녕히 계세요,Adios (La otra persona se queda)
안녕히 가세요,Adios (La otra persona se va)
네,Si
아니요,No
감사합니다,Gracias
죄송합니다,Lo siento
어서오세요,Bienvenido
이름이 뭐예요,¿Como te llamas?
제 이름은 X예요,Mi nombre es X
어디에 살아요,¿Donde vives?
어디에 가요,¿Donde vas?
어디에 있어요,¿Donde estas?/¿Donde esta?
어떻게 지내세요,¿Como estas? (Formal)
뭐 해요,¿Que haces?
좋아요,Me parece bien/Me gusta
싫어요,No me parece bien/No me gusta
잘 자요,Buenas noches/Que duermas bien
"네, 알겠어요","Si, de acuerdo"
이해했어요,Lo entendi
도와주세요,Ayudeme
얼마예요,¿Cuanto cuesta?
맛있어요,Esta bueno/sabroso
맛없어요,No esta bueno
많이 먹어요,Como mucho/No te contengas
X 좋아해요,Me gusta X
기다려 주세요,Esperame
뭐라고요,¿Que (has dicho)?
다시 말해주세요,Digamelo de nuevo
잘 모르겠어요,No lo se